pdb	seed	dockq_ha	paegat_pred	iptm
8up2	3	0.004986665	0.11726906	0.5820681
8up2	5	0.032082267	0.13339747	0.61413175
8vui	1	0.094311036	0.12264569	0.58681756
8vui	2	0.058126207	0.21276022	0.72251654
8vui	3	0.0582416	0.1365203	0.5986953
8vui	4	0.06489448	0.12244541	0.6171972
8vui	5	0.08600584	0.11049767	0.56625223
8ybl	1	0.08106631	0.22778104	0.45686865
8ybl	2	0.15394795	0.19130616	0.28723106
8ybl	3	0.59701633	0.1887145	0.24052763
8ybl	4	0.67237437	0.20207256	0.268326
8ybl	5	0.5565072	0.18550603	0.22349395
8ybp	1	0.5480823	0.28947696	0.8640791
8ybp	2	0.56345874	0.30581114	0.8650331
8ybp	3	0.56049305	0.2629076	0.89110154
8ybp	4	0.5158109	0.28068978	0.87943006
8ybp	5	0.57460415	0.27934405	0.88350326
8yj8	1	0.6677931	0.26329824	0.8247593
8yj8	2	0.6914209	0.26997024	0.8851209
8yj8	3	0.6304351	0.2704062	0.85334015
8yj8	4	0.6904081	0.23837227	0.8696768
8yj8	5	0.62144405	0.2667887	0.8222777
8yvj	1	0.03088693	0.2692355	0.90604454
8yvj	2	0.031115556	0.27352634	0.89624584
8yvj	3	0.028540948	0.25304344	0.9147865
8yvj	4	0.029833458	0.25650206	0.91644496
8yvj	5	0.03015868	0.28458783	0.87613344
8yyz	1	0.7950472	0.61385316	0.92541087
8yyz	2	0.7669039	0.51453066	0.92213964
8yyz	3	0.7849177	0.4203085	0.90582883
8yyz	4	0.7559296	0.67728907	0.9496058
8yyz	5	0.79755425	0.5650877	0.94146246
8z2e	1	0.6852405	0.23402779	0.83921576
8z2e	2	0.68717545	0.23099394	0.83122146
8z2e	3	0.7203613	0.23270166	0.85930425
8z2e	4	0.6976225	0.23120445	0.852028
8z2e	5	0.72988486	0.23196465	0.8410033
8z2v	1	0.8486757	0.64869064	0.93094337
8z2v	2	0.8328377	0.5679069	0.9070285
8z2v	3	0.84499115	0.6400969	0.9374551
8z2v	4	0.8241439	0.6621681	0.936037
8z2v	5	0.8429359	0.6722866	0.9346164
8zca	4	0.03800841	0.43263113	0.8359952
9atm	1	0.45298356	0.24837637	0.65773785
9atm	2	0.186508	0.11710291	0.56308126
9atm	3	0.31551257	0.1729282	0.5995496
9atm	4	0.018863285	0.16832663	0.5964248
9atm	5	0.20941581	0.112846285	0.5698496
9azr	1	0.1279246	0.090648465	0.5926026
9azr	2	0.15878867	0.12954053	0.6368995
9azr	3	0.13447085	0.076645814	0.5485264
9azr	4	0.16413108	0.089933306	0.5636966
9azr	5	0.13899437	0.12455285	0.6851628
9bdi	4	0.032247208	0.42336628	0.82130975
9bdi	5	0.026917916	0.31161627	0.7529966
9d41	1	0.013614612	0.27060857	0.8730618
9d41	2	0.06544543	0.2587667	0.9031311
9d41	3	0.082175195	0.24041632	0.86094767
9d41	4	0.07306774	0.2616012	0.85452104
9d41	5	0.041820887	0.2212416	0.8245415
9dq4	1	0.7734944	0.6412802	0.91689765
9dq4	2	0.764716	0.6068664	0.91274893
9dq4	3	0.7727239	0.61121315	0.9230299
9dq4	4	0.79742086	0.5906854	0.90868676
9dq4	5	0.76901597	0.59697914	0.9079297
9erw	1	0.008689553	0.19883096	0.42756343
9erw	2	0.00819721	0.21227498	0.57528216
9erw	3	0.008143223	0.19166747	0.4678669
9erw	4	0.008582152	0.19114971	0.39441162
9erw	5	0.007918356	0.18384841	0.34095412
9eze	1	0.7957361	0.2736315	0.9706506
9eze	2	0.8006528	0.27506566	0.97150016
9eze	3	0.79097396	0.272504	0.9717098
9eze	4	0.7882496	0.28759778	0.96972585
9eze	5	0.7809375	0.2708171	0.9721174
9ezu	1	0.4987266	0.29827252	0.59231746
9ezu	2	0.28777874	0.30160967	0.68612033
9ezu	3	0.282275	0.30530083	0.77113736
9ezu	4	0.28656107	0.30162966	0.67802167
9ezu	5	0.46812925	0.30346295	0.7656533
9f91	5	0.3045699	0.68647546	0.8995357
9fys	1	0.28106904	0.68954784	0.9549563
9fys	2	0.32601184	0.29070902	0.9134476
9fys	4	0.1916489	0.043672636	0.76512325
9fys	5	0.24212225	0.14513648	0.8405252
9fzc	2	0.18000756	0.37074885	0.67561334
9fzc	3	0.20027883	0.49906418	0.7512523
9fzc	4	0.16505605	0.2931868	0.45364484
9h39	1	0.009662998	0.37280622	0.5807527
9h39	2	0.0093848575	0.32242265	0.38357562
9h39	5	0.007438829	0.2145283	0.24374633
9jbq	1	0.038632713	0.19381528	0.8049656
9jbq	2	0.047698453	0.25688183	0.83453625
9jbq	3	0.041270673	0.2285299	0.7530593
9jbq	4	0.03582189	0.17559609	0.7643474
9jbq	5	0.045783218	0.18316093	0.7676477
9jeb	1	0.008580067	0.2594463	0.54654735
9jeb	2	0.0083505185	0.29064083	0.56658393
9jeb	3	0.008115366	0.15919636	0.34404233
9jeb	5	0.006143717	0.06904777	0.18244125
9jqv	4	0.039929796	0.07481703	0.55214894
9lrf	1	0.041876778	0.06498702	0.5733408
9lrf	2	0.04278645	0.066949636	0.56384796
9lrf	3	0.05000669	0.063160725	0.56999046
9lrf	4	0.042330425	0.17297788	0.69022804
9lrf	5	0.042160712	0.08932326	0.6014274
9mid	1	0.70988184	0.22407046	0.79847556
9mid	2	0.70059365	0.23545806	0.8192573
9mid	3	0.71497303	0.18718344	0.8197697
9mid	4	0.46103093	0.2532656	0.8062147
9mid	5	0.53901434	0.219965	0.82266754
9pi9	3	0.007842048	0.25459224	0.65232426
9uk5	1	0.12829775	0.23608255	0.829906
9uk5	2	0.20719048	0.2503573	0.72107464
9uk5	3	0.28541756	0.2797044	0.75234157
9uk5	4	0.2603248	0.2532138	0.72591376
9uk5	5	0.26886815	0.2814293	0.7436523
9uvi	1	0.6365172	0.25348458	0.9091751
9uvi	2	0.65880287	0.29746708	0.89764315
9uvi	3	0.548881	0.2892696	0.9034219
9uvi	4	0.6860948	0.32591042	0.91016734
9uvi	5	0.6259802	0.31882185	0.92862946
9uzc	1	0.08311186	0.21461928	0.68036824
9uzc	2	0.09914733	0.2518144	0.68875426
9uzc	3	0.09194705	0.21715358	0.6899069
9uzc	4	0.08939893	0.27859902	0.7178136
9uzc	5	0.09525164	0.2259604	0.7344631
9uzd	1	0.045702644	0.13638625	0.66862875
9uzd	2	0.090745986	0.1443289	0.6345236
9uzd	3	0.08183368	0.11981439	0.6413721
9uzd	4	0.043381244	0.09239306	0.5637806
9uzd	5	0.113627225	0.14232194	0.70994556
7yds	1	0.56726754	0.21729282	0.79262716
7yds	2	0.5084479	0.18175666	0.7601896
7yds	3	0.39485464	0.1942123	0.8128388
7yds	4	0.4562249	0.22686364	0.8230341
7yds	5	0.5875485	0.17748217	0.76622754
7yv1	1	0.10092353	0.1951264	0.8238879
7yv1	2	0.04642847	0.19141434	0.7965249
7yv1	3	0.08072942	0.20009029	0.8489491
7yv1	4	0.0660706	0.21694085	0.8895231
7yv1	5	0.081031725	0.18057707	0.68681955
7z1x	1	0.04423419	0.49248222	0.59170526
7z1x	2	0.004870893	0.50867945	0.7669132
7z1x	5	0.010947846	0.24122542	0.31173137
8b1f	1	0.811278	0.43499413	0.93102825
8b1f	2	0.8166986	0.43651393	0.9271105
8b1f	3	0.70924604	0.4329183	0.88382167
8b1f	4	0.8156938	0.43848246	0.9338887
8b1f	5	0.7574618	0.43978846	0.9398324
8bec	2	0.23469125	0.13932516	0.3576707
8bg4	1	0.20447531	0.093891025	0.214863
8bg4	2	0.20867002	0.10446501	0.25322926
8bg4	3	0.21215756	0.11143143	0.27438107
8bg4	4	0.02037215	0.07020134	0.15811388
8bg4	5	0.19169816	0.10546439	0.26616523
