pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	abangle	annotation_H	annotation_L	imgt_H	imgt_L	sequence_raw	sequence_H	sequence_L	structure	structure_chothia	in_nr_set	curated_quality_dataset	split	date_parsed	has_light_chain
8apy	C		0	A	protein		er lumen protein-retaining receptor 2	MEMBRANE PROTEIN	08/23/23	Crystal structure of the H12A variant of the KDEL receptor bound to sybody	Gallus gallus; synthetic construct	synthetic construct		gallus gallus	Parker, J.L., Smith, K., Newstead, S.	2.34	X-RAY DIFFRACTION	0.329	0.268	False	True	IGHV1									sabdab_dataset/8apy/annotation/8apy_C_VH.ann		sabdab_dataset/8apy/imgt/8apy_C_H.ann		sabdab_dataset/8apy/sequence/8apy_raw.pdb	sabdab_dataset/8apy/sequence/8apy_C_VH.fa		sabdab_dataset/8apy/structure/8apy.pdb	sabdab_dataset/8apy/structure/chothia/8apy.pdb	True	True	train	2023-08-23	False
8b17	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AWA	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.5	X-RAY DIFFRACTION	0.269	0.235	False	True	IGHV1									sabdab_dataset/8b17/annotation/8b17_B_VH.ann		sabdab_dataset/8b17/imgt/8b17_B_H.ann		sabdab_dataset/8b17/sequence/8b17_raw.pdb	sabdab_dataset/8b17/sequence/8b17_B_VH.fa		sabdab_dataset/8b17/structure/8b17.pdb	sabdab_dataset/8b17/structure/chothia/8b17.pdb	True	True	train	2023-08-09	False
8b18	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AF	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.3	X-RAY DIFFRACTION	0.254	0.227	False	True	IGHV1									sabdab_dataset/8b18/annotation/8b18_B_VH.ann		sabdab_dataset/8b18/imgt/8b18_B_H.ann		sabdab_dataset/8b18/sequence/8b18_raw.pdb	sabdab_dataset/8b18/sequence/8b18_B_VH.fa		sabdab_dataset/8b18/structure/8b18.pdb	sabdab_dataset/8b18/structure/chothia/8b18.pdb	False	False	test	2023-08-09	False
8b19	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AFA	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.45	X-RAY DIFFRACTION	0.268	0.224	False	True	IGHV1									sabdab_dataset/8b19/annotation/8b19_B_VH.ann		sabdab_dataset/8b19/imgt/8b19_B_H.ann		sabdab_dataset/8b19/sequence/8b19_raw.pdb	sabdab_dataset/8b19/sequence/8b19_B_VH.fa		sabdab_dataset/8b19/structure/8b19.pdb	sabdab_dataset/8b19/structure/chothia/8b19.pdb	False	False	train	2023-08-09	False
8b1a	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AI	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.15	X-RAY DIFFRACTION	0.239	0.215	False	True	IGHV1									sabdab_dataset/8b1a/annotation/8b1a_B_VH.ann		sabdab_dataset/8b1a/imgt/8b1a_B_H.ann		sabdab_dataset/8b1a/sequence/8b1a_raw.pdb	sabdab_dataset/8b1a/sequence/8b1a_B_VH.fa		sabdab_dataset/8b1a/structure/8b1a.pdb	sabdab_dataset/8b1a/structure/chothia/8b1a.pdb	False	False	train	2023-08-09	False
8b1d	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-APF	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.3	X-RAY DIFFRACTION	0.258	0.23	False	True	IGHV1									sabdab_dataset/8b1d/annotation/8b1d_B_VH.ann		sabdab_dataset/8b1d/imgt/8b1d_B_H.ann		sabdab_dataset/8b1d/sequence/8b1d_raw.pdb	sabdab_dataset/8b1d/sequence/8b1d_B_VH.fa		sabdab_dataset/8b1d/structure/8b1d.pdb	sabdab_dataset/8b1d/structure/chothia/8b1d.pdb	False	False	train	2023-08-09	False
8b1e	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AQ	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.47	X-RAY DIFFRACTION	0.268	0.223	False	True	IGHV1									sabdab_dataset/8b1e/annotation/8b1e_B_VH.ann		sabdab_dataset/8b1e/imgt/8b1e_B_H.ann		sabdab_dataset/8b1e/sequence/8b1e_raw.pdb	sabdab_dataset/8b1e/sequence/8b1e_B_VH.fa		sabdab_dataset/8b1e/structure/8b1e.pdb	sabdab_dataset/8b1e/structure/chothia/8b1e.pdb	False	False	train	2023-08-09	False
8b1f	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AV	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.35	X-RAY DIFFRACTION	0.237	0.217	False	True	IGHV1									sabdab_dataset/8b1f/annotation/8b1f_B_VH.ann		sabdab_dataset/8b1f/imgt/8b1f_B_H.ann		sabdab_dataset/8b1f/sequence/8b1f_raw.pdb	sabdab_dataset/8b1f/sequence/8b1f_B_VH.fa		sabdab_dataset/8b1f/structure/8b1f.pdb	sabdab_dataset/8b1f/structure/chothia/8b1f.pdb	False	False	train	2023-08-09	False
8b1g	B		0	A	protein		dipeptide and tripeptide permease b	MEMBRANE PROTEIN	08/09/23	DtpB-Nb132-AW	Escherichia coli; Lama glama; SYNTHETIC CONSTRUCT	lama glama		escherichia coli	Killer, M., Finocchio, G., Lei, J., Jungnickel, K., Kotov, V., Steinke, J., Bartels, K., Strauss, J., Dupeux, F., Humm, A.S., Cornaciu, I., Marquez, J., Pardon, E., Steyeart, J., Loew, C.	2.5	X-RAY DIFFRACTION	0.249	0.225	False	True	IGHV1									sabdab_dataset/8b1g/annotation/8b1g_B_VH.ann		sabdab_dataset/8b1g/imgt/8b1g_B_H.ann		sabdab_dataset/8b1g/sequence/8b1g_raw.pdb	sabdab_dataset/8b1g/sequence/8b1g_B_VH.fa		sabdab_dataset/8b1g/structure/8b1g.pdb	sabdab_dataset/8b1g/structure/chothia/8b1g.pdb	False	False	validation	2023-08-09	False
8b7h	H	L	0	A	protein		gremlin-1	SIGNALING PROTEIN	12/27/23	Crystal structure of human Gremlin-1 in complex with Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Schulze, M.-S., Martinez-Fleites, C.	1.95	X-RAY DIFFRACTION	0.275	0.265	False	True	IGHV1	IGKV4	Kappa						sabdab_dataset/8b7h/abangle/8b7h.abangle	sabdab_dataset/8b7h/annotation/8b7h_H_VH.ann	sabdab_dataset/8b7h/annotation/8b7h_L_VL.ann	sabdab_dataset/8b7h/imgt/8b7h_H_H.ann	sabdab_dataset/8b7h/imgt/8b7h_L_L.ann	sabdab_dataset/8b7h/sequence/8b7h_raw.pdb	sabdab_dataset/8b7h/sequence/8b7h_H_VH.fa	sabdab_dataset/8b7h/sequence/8b7h_L_VL.fa	sabdab_dataset/8b7h/structure/8b7h.pdb	sabdab_dataset/8b7h/structure/chothia/8b7h.pdb	True	False	train	2023-12-27	True
8be2	N		0	S	protein		son of sevenless homolog 1	SIGNALING PROTEIN	11/01/23	Crystal structure of SOS1-Nanobody77	Homo sapiens; Lama glama	lama glama		homo sapiens	Fischer, B., Wohlkonig, A., Steyaert, J.	1.89794	X-RAY DIFFRACTION	0.211	0.181	False	True	IGHV1									sabdab_dataset/8be2/annotation/8be2_N_VH.ann		sabdab_dataset/8be2/imgt/8be2_N_H.ann		sabdab_dataset/8be2/sequence/8be2_raw.pdb	sabdab_dataset/8be2/sequence/8be2_N_VH.fa		sabdab_dataset/8be2/structure/8be2.pdb	sabdab_dataset/8be2/structure/chothia/8be2.pdb	True	True	train	2023-11-01	False
8bec	A	a	0	B	protein		spike protein s1	PROTEIN BINDING	11/01/23	Crystal structure of the SARS-CoV-2 S RBD in complex with pT1375 scFV	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Hansen, G., Ssebyatika, G.L., Krey, T.	1.7	X-RAY DIFFRACTION	0.207	0.185	True	True	unknown	unknown	unknown						sabdab_dataset/8bec/abangle/8bec.abangle	sabdab_dataset/8bec/annotation/8bec_A_VH.ann	sabdab_dataset/8bec/annotation/8bec_A_VL.ann	sabdab_dataset/8bec/imgt/8bec_A_H.ann	sabdab_dataset/8bec/imgt/8bec_A_L.ann	sabdab_dataset/8bec/sequence/8bec_raw.pdb	sabdab_dataset/8bec/sequence/8bec_A_VH.fa	sabdab_dataset/8bec/sequence/8bec_A_VL.fa	sabdab_dataset/8bec/structure/8bec.pdb	sabdab_dataset/8bec/structure/chothia/8bec.pdb	False	False	train	2023-11-01	True
8bg2	A	a	0	B	protein		spike protein s1	PROTEIN BINDING	11/08/23	Crystal structure of the SARS-CoV-2 S RBD in complex with pT1580 scFV	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Hansen, G., Ssebyatika, G.L., Krey, T.	2.1	X-RAY DIFFRACTION	0.227	0.189	True	True	unknown	unknown	unknown						sabdab_dataset/8bg2/abangle/8bg2.abangle	sabdab_dataset/8bg2/annotation/8bg2_A_VH.ann	sabdab_dataset/8bg2/annotation/8bg2_A_VL.ann	sabdab_dataset/8bg2/imgt/8bg2_A_H.ann	sabdab_dataset/8bg2/imgt/8bg2_A_L.ann	sabdab_dataset/8bg2/sequence/8bg2_raw.pdb	sabdab_dataset/8bg2/sequence/8bg2_A_VH.fa	sabdab_dataset/8bg2/sequence/8bg2_A_VL.fa	sabdab_dataset/8bg2/structure/8bg2.pdb	sabdab_dataset/8bg2/structure/chothia/8bg2.pdb	True	True	train	2023-11-08	True
8bg3	A	a	0	B	protein		spike protein s1	PROTEIN BINDING	11/08/23	Crystal structure of the SARS-CoV-2 S RBD in complex with pT1610 scFV	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Hansen, G., Ssebyatika, G.L., Krey, T.	1.9	X-RAY DIFFRACTION	0.214	0.185	True	True	unknown	unknown	unknown						sabdab_dataset/8bg3/abangle/8bg3.abangle	sabdab_dataset/8bg3/annotation/8bg3_A_VH.ann	sabdab_dataset/8bg3/annotation/8bg3_A_VL.ann	sabdab_dataset/8bg3/imgt/8bg3_A_H.ann	sabdab_dataset/8bg3/imgt/8bg3_A_L.ann	sabdab_dataset/8bg3/sequence/8bg3_raw.pdb	sabdab_dataset/8bg3/sequence/8bg3_A_VH.fa	sabdab_dataset/8bg3/sequence/8bg3_A_VL.fa	sabdab_dataset/8bg3/structure/8bg3.pdb	sabdab_dataset/8bg3/structure/chothia/8bg3.pdb	True	True	train	2023-11-08	True
8bg4	A	a	0	B	protein		spike protein s1	PROTEIN BINDING	11/08/23	Crystal structure of the SARS-CoV-2 S RBD in complex with pT1611 scFV	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Hansen, G., Ssebyatika, G.L., Krey, T.	1.6	X-RAY DIFFRACTION	0.208	0.195	True	True	unknown	unknown	unknown						sabdab_dataset/8bg4/abangle/8bg4.abangle	sabdab_dataset/8bg4/annotation/8bg4_A_VH.ann	sabdab_dataset/8bg4/annotation/8bg4_A_VL.ann	sabdab_dataset/8bg4/imgt/8bg4_A_H.ann	sabdab_dataset/8bg4/imgt/8bg4_A_L.ann	sabdab_dataset/8bg4/sequence/8bg4_raw.pdb	sabdab_dataset/8bg4/sequence/8bg4_A_VH.fa	sabdab_dataset/8bg4/sequence/8bg4_A_VL.fa	sabdab_dataset/8bg4/structure/8bg4.pdb	sabdab_dataset/8bg4/structure/chothia/8bg4.pdb	False	False	train	2023-11-08	True
8bg5	A	a	0	B	protein		spike protein s1	PROTEIN BINDING	11/08/23	Crystal structure of the SARS-CoV-2 S RBD in complex with pT1631 scFV	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Hansen, G., Ssebyatika, G.L., Krey, T.	2.05	X-RAY DIFFRACTION	0.217	0.196	True	True	unknown	unknown	unknown						sabdab_dataset/8bg5/abangle/8bg5.abangle	sabdab_dataset/8bg5/annotation/8bg5_A_VH.ann	sabdab_dataset/8bg5/annotation/8bg5_A_VL.ann	sabdab_dataset/8bg5/imgt/8bg5_A_H.ann	sabdab_dataset/8bg5/imgt/8bg5_A_L.ann	sabdab_dataset/8bg5/sequence/8bg5_raw.pdb	sabdab_dataset/8bg5/sequence/8bg5_A_VH.fa	sabdab_dataset/8bg5/sequence/8bg5_A_VL.fa	sabdab_dataset/8bg5/structure/8bg5.pdb	sabdab_dataset/8bg5/structure/chothia/8bg5.pdb	True	True	train	2023-11-08	True
8bk2	D	E	0	B	protein		factor h-binding protein	PROTEIN BINDING	11/22/23	X-ray structure of meningococcal factor H binding protein variant 2 in complex with a specific and bactericidal human monoclonal antibody 1B1	Homo sapiens; Neisseria meningitidis serogroup B	homo sapiens	homo sapiens	neisseria meningitidis serogroup b	Veggi, D., Bottomley, J.M.	2.41	X-RAY DIFFRACTION	0.27	0.204	False	True	IGHV3	IGKV3	Kappa						sabdab_dataset/8bk2/abangle/8bk2.abangle	sabdab_dataset/8bk2/annotation/8bk2_D_VH.ann	sabdab_dataset/8bk2/annotation/8bk2_E_VL.ann	sabdab_dataset/8bk2/imgt/8bk2_D_H.ann	sabdab_dataset/8bk2/imgt/8bk2_E_L.ann	sabdab_dataset/8bk2/sequence/8bk2_raw.pdb	sabdab_dataset/8bk2/sequence/8bk2_D_VH.fa	sabdab_dataset/8bk2/sequence/8bk2_E_VL.fa	sabdab_dataset/8bk2/structure/8bk2.pdb	sabdab_dataset/8bk2/structure/chothia/8bk2.pdb	True	False	train	2023-11-22	True
8byu	H	L	0	A	protein		adp-ribosyl cyclase/cyclic adp-ribose hydrolase 1	ANTITUMOR PROTEIN	07/12/23	Crystal Structure of HexaBody-CD38 Fab in complex with CD38	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Freier, R., Krapp, S., Hibbert, R.G.	1.85	X-RAY DIFFRACTION	0.23	0.188	False	True	IGHV1	IGKV1	Kappa						sabdab_dataset/8byu/abangle/8byu.abangle	sabdab_dataset/8byu/annotation/8byu_H_VH.ann	sabdab_dataset/8byu/annotation/8byu_L_VL.ann	sabdab_dataset/8byu/imgt/8byu_H_H.ann	sabdab_dataset/8byu/imgt/8byu_L_L.ann	sabdab_dataset/8byu/sequence/8byu_raw.pdb	sabdab_dataset/8byu/sequence/8byu_H_VH.fa	sabdab_dataset/8byu/sequence/8byu_L_VL.fa	sabdab_dataset/8byu/structure/8byu.pdb	sabdab_dataset/8byu/structure/chothia/8byu.pdb	True	False	validation	2023-07-12	True
8c3k	B		0	A	protein		phage repressor protein ci	DNA BINDING PROTEIN	01/10/24	PaaR2 N-terminal domin in complex with nanobody 33	Escherichia coli O157:H7; Lama glama	lama glama		escherichia coli o157	Loris, R., Prolic-Kalinsek, M.	1.74972	X-RAY DIFFRACTION	0.233	0.203	False	True	IGHV1									sabdab_dataset/8c3k/annotation/8c3k_B_VH.ann		sabdab_dataset/8c3k/imgt/8c3k_B_H.ann		sabdab_dataset/8c3k/sequence/8c3k_raw.pdb	sabdab_dataset/8c3k/sequence/8c3k_B_VH.fa		sabdab_dataset/8c3k/structure/8c3k.pdb	sabdab_dataset/8c3k/structure/chothia/8c3k.pdb	True	True	train	2024-01-10	False
